english	category	sub_category
Animal Magnetism	manual	quest
Animal Magnetism	manual	quest
Learn how to equip Ava's ranged devices.	manual	quest
Another Slice of H.A.M.	manual	quest
Another Slice of H.A.M.	manual	quest
Learn how to use the Goblin Village teleport spheres.	manual	quest
Ascent of Arceuus, The	manual	quest
The Ascent of Arceuus	manual	quest
Gain the Arceuus Memoirs teleport.	manual	quest
Alfred Grimhand's Barcrawl	manual	quest
Alfred Grimhand's Barcrawl	manual	quest
Embark on a Barbarian rite of passage.	manual	quest
Bear Your Soul	manual	quest
Bear Your Soul	manual	quest
Gain the Soul Bearer.	manual	quest
Below Ice Mountain	manual	quest
Below Ice Mountain	manual	quest
Gain access to the Ruins of Camdozaal.	manual	quest
Between a Rock...	manual	quest
Between a Rock...	manual	quest
Gain access to the Arzinian Gold Mine.	manual	quest
Big Chompy Bird Hunting	manual	quest
Big Chompy Bird Hunting	manual	quest
Learn how to hunt Chompy Birds.	manual	quest
Biohazard	manual	quest
Biohazard	manual	quest
Unlock the West Ardougne teleport spell.	manual	quest
Black Knights' Fortress	manual	quest
Black Knights' Fortress	manual	quest
Assist the White Knights with their investigation.	manual	quest
Bone Voyage	manual	quest
Bone Voyage	manual	quest
Gain access to Fossil Island.	manual	quest
Cabin Fever	manual	quest
Cabin Fever	manual	quest
Gain access to Mos'LeHarmless.	manual	quest
Client of Kourend	manual	quest
Client of Kourend	manual	quest
Gain Kharedst's Memoirs.	manual	quest
Clock Tower	manual	quest
Clock Tower	manual	quest
Help Brother Kojo repair the Clock Tower.	manual	quest
Cold War	manual	quest
Cold War	manual	quest
Gain access to the Penguin Agility Course.	manual	quest
Contact!	manual	quest
Contact!	manual	quest
Gain the Keris dagger.	manual	quest
Cook's Assistant	manual	quest
Cook's Assistant	manual	quest
Help the Lumbridge Castle Cook out of his baking bind.	manual	quest
Corsair Curse, The	manual	quest
The Corsair Curse	manual	quest
Gain access to the Corsair Cove Bank.	manual	quest
Creature of Fenkenstrain	manual	quest
Creature of Fenkenstrain	manual	quest
Gain a Ring of Charos.	manual	quest
Curse of the Empty Lord	manual	quest
Curse of the Empty Lord	manual	quest
Gain a set of Ghostly Robes.	manual	quest
Daddy's Home	manual	quest
Daddy's Home	manual	quest
Learn about the Construction skill.	manual	quest
Darkness of Hallowvale	manual	quest
Darkness of Hallowvale	manual	quest
Learn the reverse Temple Trekking routes.	manual	quest
Death Plateau	manual	quest
Death Plateau	manual	quest
Gain a set of Climbing Boots.	manual	quest
Death to the Dorgeshuun	manual	quest
Death to the Dorgeshuun	manual	quest
Gain access to the H.A.M Store Room.	manual	quest
Demon Slayer	manual	quest
Demon Slayer	manual	quest
Face your destiny in Varrock.	manual	quest
Depths of Despair, The	manual	quest
The Depths of Despair	manual	quest
Gain the Hosidius Memoirs teleport.	manual	quest
Desert Treasure I	manual	quest
Desert Treasure I	manual	quest
Learn how to use the Ancient Magicks.	manual	quest
Devious Minds	manual	quest
Devious Minds	manual	quest
Dig Site, The	manual	quest
The Dig Site	manual	quest
Learn how to clean specimens in Varrock Museum.	manual	quest
Doric's Quest	manual	quest
Doric's Quest	manual	quest
Gain early game Mining XP.	manual	quest
Dragon Slayer I	manual	quest
Dragon Slayer I	manual	quest
Learn how to equip Rune and Dragon Platebodies.	manual	quest
Dragon Slayer II	manual	quest
Dragon Slayer II	manual	quest
Gain great XP and access to the Myth's Guild.	manual	quest
Dream Mentor	manual	quest
Dream Mentor	manual	quest
Learn how to cast more Lunar spells.	manual	quest
Druidic Ritual	manual	quest
Druidic Ritual	manual	quest
Unlock the Herblore skill.	manual	quest
Dwarf Cannon	manual	quest
Dwarf Cannon	manual	quest
Learn how to use a Dwarf Multicannons.	manual	quest
Eadgar's Ruse	manual	quest
Eadgar's Ruse	manual	quest
Learn how to grow and steal Goutweed.	manual	quest
Eagles' Peak	manual	quest
Eagles' Peak	manual	quest
Gain access to the Eagle transportation and Box Traps.	manual	quest
Elemental Workshop I	manual	quest
Elemental Workshop I	manual	quest
Rediscover the knowledge hidden in Seers' Village.	manual	quest
Elemental Workshop II	manual	quest
Elemental Workshop II	manual	quest
Learn how to equip Mind equipment.	manual	quest
Enakhra's Lament	manual	quest
Enakhra's Lament	manual	quest
Gain a Camulet.	manual	quest
Enchanted Key, The	manual	quest
The Enchanted Key	manual	quest
Hunt for hidden treasure using the Enchanted Key.	manual	quest
Enlightened Journey	manual	quest
Enlightened Journey	manual	quest
Gain access to the Balloon transportation.	manual	quest
Enter the Abyss	manual	quest
Enter the Abyss	manual	quest
Gain access to the Abyss.	manual	quest
Ernest the Chicken	manual	quest
Ernest the Chicken	manual	quest
Investigate the whereabouts of Ernest.	manual	quest
Eyes of Glouphrie, The	manual	quest
The Eyes of Glouphrie	manual	quest
Gain a Crystal Saw Seed.	manual	quest
Fairytale I - Growing Pains	manual	quest
Fairytale I - Growing Pains	manual	quest
Learn how to teleport using Fairy Rings (start Fairytale II).	manual	quest
Fairytale II - Cure a Queen	manual	quest
Fairytale II - Cure a Queen	manual	quest
Investigate what's really going on in Zanaris.	manual	quest
Family Crest	manual	quest
Family Crest	manual	quest
Gain Skill-imbued Gauntlets.	manual	quest
Family Pest	manual	quest
Family Pest	manual	quest
Gain the ability to own all Skill-imbued Gauntlets.	manual	quest
Feud, The	manual	quest
The Feud	manual	quest
Learn how to use a Blackjack.	manual	quest
Fight Arena	manual	quest
Fight Arena	manual	quest
Gain the Khazard armour.	manual	quest
Fishing Contest	manual	quest
Fishing Contest	manual	quest
Gain access to White Wolf Mountain Pass.	manual	quest
Forgettable Tale...	manual	quest
Forgettable Tale...	manual	quest
Forsaken Tower, The	manual	quest
The Forsaken Tower	manual	quest
Gain the Lovakengj Memoirs teleport.	manual	quest
Fremennik Exiles, The	manual	quest
The Fremennik Exiles	manual	quest
Gain a V's Shield.	manual	quest
Fremennik Isles, The	manual	quest
The Fremennik Isles	manual	quest
Gain a Helm of Neitiznot.	manual	quest
Fremennik Trials, The	manual	quest
The Fremennik Trials	manual	quest
Gain great XP in several skills.	manual	quest
Garden of Tranquillity	manual	quest
Garden of Tranquillity	manual	quest
Gain an Activated Ring of Charos.	manual	quest
General's Shadow, The	manual	quest
The General's Shadow	manual	quest
Gain the Shadow Sword.	manual	quest
Gertrude's Cat	manual	quest
Gertrude's Cat	manual	quest
Gain a pet Kitten.	manual	quest
Getting Ahead	manual	quest
Getting Ahead	manual	quest
Help Gordon protect his farm.	manual	quest
Ghosts Ahoy	manual	quest
Ghosts Ahoy	manual	quest
Gain access to Ectophial teleportation.	manual	quest
Giant Dwarf, The	manual	quest
The Giant Dwarf	manual	quest
Learn how to travel by minecart.	manual	quest
Goblin Diplomacy	manual	quest
Goblin Diplomacy	manual	quest
Investigate the disturbance in Goblin Village.	manual	quest
Golem, The	manual	quest
The Golem	manual	quest
Gain access to the Carpet rides to Uzer.	manual	quest
Grand Tree, The	manual	quest
The Grand Tree	manual	quest
Gain access to the Gnome Glider transportation.	manual	quest
Great Brain Robbery, The	manual	quest
The Great Brain Robbery	manual	quest
Gain a Barrelchest Anchor.	manual	quest
Grim Tales	manual	quest
Grim Tales	manual	quest
Hand in the Sand, The	manual	quest
The Hand in the Sand	manual	quest
Gain access to the Wizards' Guild Rune Shop.	manual	quest
Haunted Mine	manual	quest
Haunted Mine	manual	quest
Gain a Salve Amulet.	manual	quest
Hazeel Cult	manual	quest
Hazeel Cult	manual	quest
Gain the Carnillean armour.	manual	quest
Heroes' Quest	manual	quest
Heroes' Quest	manual	quest
Learn how to wield Dragon Battleaxes and Maces.	manual	quest
Holy Grail	manual	quest
Holy Grail	manual	quest
Gain great Prayer and Defence XP.	manual	quest
Horror from the Deep	manual	quest
Horror from the Deep	manual	quest
Gain a God book.	manual	quest
Icthlarin's Little Helper	manual	quest
Icthlarin's Little Helper	manual	quest
Gain access to Sophanem.	manual	quest
Imp Catcher	manual	quest
Imp Catcher	manual	quest
Gain early game Magic XP.	manual	quest
In Aid of the Myreque	manual	quest
In Aid of the Myreque	manual	quest
Gain access to the Temple Trekking minigame.	manual	quest
In Search of Knowledge	manual	quest
In Search of Knowledge	manual	quest
Gain an XP Lamp.	manual	quest
In Search of the Myreque	manual	quest
In Search of the Myreque	manual	quest
Start the Myreque storyline.	manual	quest
Jungle Potion	manual	quest
Jungle Potion	manual	quest
Assist Trufitus Shakaya with his ritual.	manual	quest
Kingdom Divided, A	manual	quest
A Kingdom Divided	manual	quest
Learn how to cast Resurrection spells.	manual	quest
King's Ransom	manual	quest
King's Ransom	manual	quest
Learn how to use the Chivalry and Piety prayers.	manual	quest
Knight's Sword, The	manual	quest
The Knight's Sword	manual	quest
