english	category	sub_category
Monkeys	manual	slayer_reward
Goblins	manual	slayer_reward
Rats	manual	slayer_reward
Spiders	manual	slayer_reward
Birds	manual	slayer_reward
Cows	manual	slayer_reward
Scorpions	manual	slayer_reward
Bats	manual	slayer_reward
Wolves	manual	slayer_reward
Zombies	manual	slayer_reward
Skeletons	manual	slayer_reward
Ghosts	manual	slayer_reward
Bears	manual	slayer_reward
HillGiants	manual	slayer_reward
IceGiants	manual	slayer_reward
FireGiants	manual	slayer_reward
MossGiants	manual	slayer_reward
Trolls	manual	slayer_reward
IceWarriors	manual	slayer_reward
Ogres	manual	slayer_reward
Hobgoblins	manual	slayer_reward
Dogs	manual	slayer_reward
Ghouls	manual	slayer_reward
GreenDragons	manual	slayer_reward
BlueDragons	manual	slayer_reward
RedDragons	manual	slayer_reward
BlackDragons	manual	slayer_reward
LesserDemons	manual	slayer_reward
GreaterDemons	manual	slayer_reward
BlackDemons	manual	slayer_reward
Hellhounds	manual	slayer_reward
ShadowWarriors	manual	slayer_reward
Werewolves	manual	slayer_reward
Vampyres	manual	slayer_reward
Dagannoth	manual	slayer_reward
Turoth	manual	slayer_reward
CaveCrawlers	manual	slayer_reward
Banshees	manual	slayer_reward
CrawlingHands	manual	slayer_reward
InfernalMages	manual	slayer_reward
AberrantSpectres	manual	slayer_reward
AbyssalDemons	manual	slayer_reward
Basilisks	manual	slayer_reward
Cockatrice	manual	slayer_reward
Kurask	manual	slayer_reward
Gargoyles	manual	slayer_reward
Pyrefiends	manual	slayer_reward
Bloodveld	manual	slayer_reward
DustDevils	manual	slayer_reward
Jellies	manual	slayer_reward
Rockslugs	manual	slayer_reward
Nechryael	manual	slayer_reward
Kalphite	manual	slayer_reward
EarthWarriors	manual	slayer_reward
OtherworldlyBeings	manual	slayer_reward
Elves	manual	slayer_reward
Dwarves	manual	slayer_reward
BronzeDragons	manual	slayer_reward
IronDragons	manual	slayer_reward
SteelDragons	manual	slayer_reward
WallBeasts	manual	slayer_reward
CaveSlimes	manual	slayer_reward
CaveBugs	manual	slayer_reward
Shades	manual	slayer_reward
Crocodiles	manual	slayer_reward
DarkBeasts	manual	slayer_reward
Mogres	manual	slayer_reward
Lizards	manual	slayer_reward
