english	category	sub_category
Karamja easy	manual	task
Karamja medium	manual	task
Karamja hard	manual	task
Karamja elite	manual	task
Ardougne easy	manual	task
Ardougne medium	manual	task
Ardougne hard	manual	task
Ardougne elite	manual	task
Falador easy	manual	task
Falador medium	manual	task
Falador hard	manual	task
Falador elite	manual	task
Fremennik easy	manual	task
Fremennik medium	manual	task
Fremennik hard	manual	task
Fremennik elite	manual	task
Kandarin easy	manual	task
Kandarin medium	manual	task
Kandarin hard	manual	task
Kandarin elite	manual	task
Desert easy	manual	task
Desert medium	manual	task
Desert hard	manual	task
Desert elite	manual	task
Lumbridge easy	manual	task
Lumbridge medium	manual	task
Lumbridge hard	manual	task
Lumbridge elite	manual	task
Morytania easy	manual	task
Morytania medium	manual	task
Morytania hard	manual	task
Morytania elite	manual	task
Varrock easy	manual	task
Varrock medium	manual	task
Varrock hard	manual	task
Varrock elite	manual	task
Wilderness easy	manual	task
Wilderness medium	manual	task
Wilderness hard	manual	task
Wilderness elite	manual	task
Western easy	manual	task
Western medium	manual	task
Western hard	manual	task
Western elite	manual	task
Kourend easy	manual	task
Kourend medium	manual	task
Kourend hard	manual	task
Kourend elite	manual	task
